21.15, 56.87, 30.06, 31.03, 31.23
21.15, 56.87, 30.06, 31.03, 31.23
21.87, 59.28, 31.18, 31.87, 32.26
22.10, 59.10, 31.29, 32.15, 32.04
22.64, 61.09, 32.39, 32.10, 33.11
22.64, 59.90, 31.96, 31.32, 32.81
20.29, 59.15, 31.72, 31.51, 32.56
20.89, 61.34, 32.39, 31.88, 32.86
21.17, 60.76, 32.47, 31.84, 33.24
21.24, 61.76, 32.77, 32.26, 32.87
21.50, 62.42, 32.68, 32.12, 33.66
20.61, 61.92, 32.03, 31.37, 33.23
20.54, 61.68, 31.78, 31.47, 32.93
20.57, 60.87, 31.40, 31.31, 32.65
20.57, 60.87, 31.40, 31.31, 32.65
19.63, 60.36, 30.57, 30.47, 32.07
19.31, 59.38, 29.83, 29.89, 31.86
20.15, 59.90, 29.99, 29.96, 32.96
19.23, 55.09, 28.66, 29.17, 31.76
18.71, 54.28, 28.42, 28.80, 31.14
18.81, 55.05, 29.78, 29.58, 31.47
18.89, 54.48, 29.90, 28.79, 31.55
18.45, 52.35, 29.53, 28.84, 30.52
18.36, 53.20, 30.21, 29.71, 30.65
18.52, 54.39, 30.36, 29.26, 30.92
17.94, 50.82, 29.51, 29.38, 30.02
18.57, 49.96, 29.47, 29.00, 30.03
18.21, 47.38, 28.71, 28.89, 29.58
18.33, 45.91, 28.69, 28.37, 29.37
18.53, 46.20, 28.55, 28.63, 29.35
18.54, 46.64, 28.21, 28.22, 28.60
18.50, 45.71, 27.64, 28.02, 28.04
18.52, 47.16, 27.68, 27.90, 28.41
18.76, 48.55, 28.19, 28.51, 29.04
18.76, 48.55, 28.19, 28.51, 29.04
19.60, 50.06, 29.17, 28.37, 29.66
19.21, 49.33, 29.13, 28.54, 29.77
18.95, 48.92, 28.63, 27.59, 29.32
19.44, 49.95, 28.62, 28.03, 29.63
18.67, 48.81, 28.05, 26.94, 28.94
19.03, 49.47, 28.11, 26.66, 29.35
18.98, 48.62, 27.83, 26.33, 28.79
19.16, 49.60, 28.13, 26.43, 29.32
19.18, 48.45, 28.56, 26.06, 29.75
19.13, 47.53, 28.20, 25.64, 29.49
18.71, 46.75, 27.86, 25.96, 28.89
18.73, 48.19, 28.18, 25.29, 29.60
17.99, 46.96, 27.68, 24.74, 29.26
17.90, 47.12, 28.12, 24.44, 29.59
17.59, 44.61, 27.11, 24.13, 28.73
17.38, 43.76, 26.86, 23.85, 28.15
17.66, 43.99, 26.78, 23.78, 28.25
18.60, 46.94, 28.10, 23.97, 29.80
18.66, 48.18, 28.47, 24.16, 30.12
19.47, 50.64, 30.32, 25.44, 30.52
19.78, 50.17, 30.66, 26.32, 30.99
19.89, 51.04, 30.87, 26.43, 31.64
19.84, 51.27, 31.21, 26.31, 31.97
20.48, 53.61, 32.20, 26.57, 33.20
19.49, 51.14, 30.91, 25.56, 31.86
19.96, 51.03, 29.98, 25.88, 32.04
